"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"WebTemplateInputValidationRange","WebTemplateInputValidationRange.min","WebTemplateInputValidationRange.min","","","",1,1,"","","","decimal {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInputValidationRange.min",1,1,"",""
"WebTemplateInputValidationRange","WebTemplateInputValidationRange.maxOp","WebTemplateInputValidationRange.maxOp","","","",1,1,"","","","code {[]} {[]}
","todo","","","","","","","","","","",,"required","","https://specifications.openehr.org/fhir/valueset-range-maxop","",,,,"WebTemplateInputValidationRange.maxOp",1,1,"",""
"WebTemplateInputValidationRange","WebTemplateInputValidationRange.max","WebTemplateInputValidationRange.max","","","",1,1,"","","","decimal {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInputValidationRange.max",1,1,"",""
"WebTemplateItem","WebTemplateItem","WebTemplateItem","","","",0,*,"","","","null {[]} {[]}
","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"WebTemplateItem","WebTemplateItem.id","WebTemplateItem.id","","","",1,1,"","","","string {[]} {[]}
","Node ID (this ID is needed when input data is converted to a composition)","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.id",1,1,"",""
"WebTemplateItem","WebTemplateItem.depth","WebTemplateItem.depth","","","",0,1,"","","","integer {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.depth",0,1,"",""
"WebTemplateItem","WebTemplateItem.name","WebTemplateItem.name","","","",0,1,"","","","string {[]} {[]}
","Default node name","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.name",0,1,"",""
"WebTemplateItem","WebTemplateItem.localizedName","WebTemplateItem.localizedName","","","",0,1,"","","","string {[]} {[]}
","Node name in the default language","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.localizedName",0,1,"",""
"WebTemplateItem","WebTemplateItem.rmType","WebTemplateItem.rmType","","","",1,1,"","","","code {[]} {[]}
","Reference Model class name for this node","","","","","","","","","","",,"required","","https://specifications.openehr.org/fhir/valueset-item-rmtype","",,,,"WebTemplateItem.rmType",1,1,"",""
"WebTemplateItem","WebTemplateItem.nodeId","WebTemplateItem.nodeId","","","",0,1,"","","","string {[]} {[]}
","Archetype node id as either a full openEHR-EHR-xxxxx archetype id or just an at-code","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.nodeId",0,1,"",""
